weapon_1,1,旋风剑,2,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

jacket_1,2,长袍,1,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

shoulder_1,3,银鳞肩甲,3,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

cuirass_1,4,银鳞胸甲,3,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

waist_1,5,布护腰,1,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

trousers_1,6,布裤子,1,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

legguard_1,7,布护腿,1,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

shoes_1,8,皮靴,2,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

wrist_1,9,铁护腕,2,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

gloves_1,10,皮质手套,1,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

pendant_1,11,金项链,3,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;

ring_1,12,钻石戒指,4,1,50,100,50,1000,1,10,20,10,200,3,20,40,20,300;
